Date,US_S&P500,US_DowJones,US_NASDAQ,Europe_EuroStoxx50,UK_FTSE100,Japan_Nikkei225,HongKong_HangSeng,Egypt_EGX30
2017-12-05,2629.570068359375,24180.640625,6762.2099609375,3570.570068359375,7327.5,22622.380859375,28842.80078125,
2017-12-06,2629.27001953125,24140.91015625,6776.3798828125,3561.570068359375,7348.0,22177.0390625,28224.80078125,
2017-12-07,2636.97998046875,24211.48046875,6812.83984375,3573.1298828125,7320.7998046875,22498.029296875,28303.189453125,
2017-12-08,2651.5,24329.16015625,6840.080078125,3591.449951171875,7394.0,22811.080078125,28639.849609375,
2017-12-11,2659.989990234375,24386.029296875,6875.080078125,3582.2099609375,7453.5,22938.73046875,28965.2890625,
2017-12-12,2664.110107421875,24504.80078125,6862.31982421875,3600.35009765625,7500.39990234375,22866.169921875,28793.880859375,
2017-12-13,2662.85009765625,24585.4296875,6875.7998046875,3581.75,7496.5,22758.0703125,29222.099609375,
2017-12-14,2652.010009765625,24508.66015625,6856.52978515625,3556.219970703125,7448.10009765625,22694.44921875,29166.380859375,
2017-12-15,2675.81005859375,24651.740234375,6936.580078125,3560.530029296875,7490.60009765625,22553.220703125,28848.109375,
2017-12-18,2690.159912109375,24792.19921875,6994.759765625,3609.419921875,7537.0,22901.76953125,29050.41015625,
2017-12-19,2681.469970703125,24754.75,6963.85009765625,3582.219970703125,7544.10009765625,22868.0,29253.66015625,
2017-12-20,2679.25,24726.650390625,6960.9599609375,3552.64990234375,7525.2001953125,22891.720703125,29234.08984375,
2017-12-21,2684.570068359375,24782.2890625,6965.35986328125,3570.780029296875,7604.0,22866.099609375,29367.060546875,
2017-12-22,2683.340087890625,24754.060546875,6959.9599609375,3553.389892578125,7592.7001953125,22902.759765625,29578.009765625,
2017-12-25,,,,,,22939.1796875,,
2017-12-26,2680.5,24746.2109375,6936.25,,,22892.689453125,,
2017-12-27,2682.6201171875,24774.30078125,6939.33984375,3550.169921875,7620.7001953125,22911.2109375,29597.66015625,
2017-12-28,2687.5400390625,24837.509765625,6950.16015625,3524.31005859375,7622.89990234375,22783.98046875,29863.7109375,
2017-12-29,2673.610107421875,24719.220703125,6903.39013671875,3503.9599609375,7687.7998046875,22764.939453125,29919.150390625,
2018-01-02,2695.81005859375,24824.009765625,7006.89990234375,,7648.10009765625,,30515.310546875,
2018-01-03,2713.06005859375,24922.6796875,7065.52978515625,3509.8798828125,7671.10009765625,,30560.94921875,
2018-01-04,2723.989990234375,25075.130859375,7077.91015625,3568.8798828125,7695.89990234375,23506.330078125,30736.48046875,
2018-01-05,2743.14990234375,25295.869140625,7136.56005859375,3607.6298828125,7724.2001953125,23714.529296875,30814.640625,
