"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","4,340.36","4,286.46","4,343.21","4,286.46","","1.21%"
"01/01/2025","4,288.54","4,289.24","4,292.15","4,283.16","","-0.02%"
"12/31/2024","4,289.38","4,260.31","4,295.05","4,254.38","","0.67%"
"12/30/2024","4,260.72","4,290.06","4,298.37","4,245.19","","-0.65%"
"12/27/2024","4,288.70","4,298.41","4,314.30","4,272.81","","-0.24%"
"12/26/2024","4,299.12","4,284.74","4,317.95","4,284.74","","0.33%"
"12/25/2024","4,285.14","4,275.75","4,286.97","4,258.97","","0.22%"
"12/24/2024","4,275.75","4,295.44","4,309.00","4,262.23","","-0.47%"
"12/23/2024","4,295.78","4,292.91","4,312.99","4,282.24","","0.06%"
"12/20/2024","4,293.28","4,245.92","4,306.77","4,240.35","","1.10%"
"12/19/2024","4,246.49","4,234.23","4,300.33","4,233.19","","0.28%"
"12/18/2024","4,234.81","4,322.52","4,336.00","4,213.97","","-2.02%"
"12/17/2024","4,322.22","4,330.89","4,344.81","4,300.71","","-0.21%"
"12/16/2024","4,331.23","4,329.93","4,358.42","4,314.24","","0.10%"
"12/13/2024","4,326.90","4,379.93","4,398.88","4,324.05","","-1.21%"
"12/12/2024","4,379.82","4,427.32","4,445.48","4,372.77","","-1.09%"
"12/11/2024","4,428.06","4,372.28","4,429.93","4,340.70","","1.27%"
"12/10/2024","4,372.48","4,319.90","4,375.39","4,315.81","","1.23%"
"12/09/2024","4,319.25","4,241.73","4,345.86","4,226.36","","2.08%"
"12/06/2024","4,231.42","4,232.49","4,250.55","4,201.35","","-0.02%"
"12/05/2024","4,232.12","4,245.00","4,267.42","4,216.29","","-0.30%"
"12/04/2024","4,244.80","4,226.86","4,253.70","4,219.04","","0.42%"
"12/03/2024","4,226.85","4,223.93","4,244.44","4,211.55","","0.07%"
"12/02/2024","4,223.92","4,232.99","4,237.71","4,185.59","","-0.18%"
"11/29/2024","4,231.41","4,207.38","4,250.67","4,201.55","","0.56%"
